current_word,next_word,count
BISSCHEN,SCHNEE,5
NULL,GRAD,5
MEHR,REGEN,5
KOENNEN,STURM,5
NORD,BISSCHEN,5
__ON__,SUED,5
MORGEN,NORD,5
WEHEN,IX,5
NORD,MORGEN,5
__ON__,HOCH,5
WIE-AUSSEHEN,IN-KOMMEND,5
WUENSCHEN,__OFF__,5
JETZT,WIE-AUSSEHEN,5
SECHS,ZWANZIG,5
ZWEI,GRAD,5
MEISTENS,WOLKE,5
SECHS,GRAD,5
__ON__,MITTWOCH,5
REGEN,SCHNEE,5
GRAD,NORD,5
UEBERWIEGEND,WOLKE,5
NEUN,GRAD,5
MOEGLICH,SCHNEE,5
WIE-AUSSEHEN,WETTER,5
FUENF,ZWANZIG,5
SUED,MEHR,5
OKTOBER,__OFF__,5
IX,WIND,5
SONNE,DABEI,5
REGEN,AUCH,5
HOCH,DRUCK,5
ACHTZEHN,GRAD,5
WEST,REGEN,5
MINUS,FUENF,5
REGEN,IX,5
__ON__,MONTAG,5
DREIZEHN,GRAD,5
__ON__,LIEB,5
__ON__,WETTER,5
BISSCHEN,SCHAUER,4
SAMSTAG,SONNTAG,4
BESONDERS,NORD,4
DEZEMBER,__OFF__,4
BISSCHEN,SONNE,4
BESONDERS,NORDWEST,4
SAMSTAG,NORD,4
MAL,SONNE,4
SECHSZEHN,GRAD,4
STURM,KOENNEN,4
NACHT,TEMPERATUR,4
AUCH,SONNE,4
SCHWER,STURM,4
NORD,MITTE,4
NORD,SCHAUER,4
AUCH,SCHNEE,4
VOR,MITTAG,4
MACHEN,GUT,4
NACHT,KLAR,4
WEST,KOMMEN,4
DANN,SCHNEE,4
NORD,MEHR,4
SIEBEN,GRAD,4
ZWANZIG,BIS,4
FRISCH,WIND,4
IX,WEHEN,4
IX,MEHR,4
MEHR,WARM,4
FLUSS,__OFF__,4
IX,DANN,4
MITTE,EUROPA,4
FLUSS,BIS,4
ACHT,BIS,4
ACHT,ZWANZIG,4
JULI,__OFF__,4
KOMMEN,OST,4
JANUAR,__OFF__,4
MORGEN,FRUEH,4
GRAD,ALPEN,4
MORGEN,IX,4
MORGEN,DIENSTAG,4
WOLKE,BESONDERS,4
MORGEN,SONNE,4
IX,SONNE,4
REGEN,DABEI,4
SCHAUER,__OFF__,4
WIND,WEHEN,4
REGEN,BERG,4
REGEN,SUEDOST,4
FUENF,GRAD,4
WOLKE,WECHSELHAFT,4
WOLKE,ABER,4
REGION,TIEF,4
__ON__,FREITAG,4
BIS,ZEHN,4
BIS,PLUS,4
SUEDOST,AUCH,4
MINUS,ZWEI,4
REGION,KLAR,4
ABEND,__OFF__,4
REGION,SCHNEE,4
OST,SUED,4
REGION,MEHR,4
DREI,ZWANZIG,4
SONNE,MOEGLICH,4
REGION,FREUNDLICH,4
BIS,NEUN,4
WETTER,WECHSELHAFT,4
REGION,WOLKE,4
VIER,ZWANZIG,4
REGION,AUCH,4
VIER,GRAD,4
FEBRUAR,__OFF__,4
SUED,REGION,4
BIS,ACHT,4
ELF,GRAD,4
TROCKEN,__OFF__,4
REGION,MOEGLICH,4
SCHNEE,REGION,4
__ON__,IN-KOMMEND,4
TROCKEN,IX,4
MEHR,SONNE,4
__ON__,NORDWEST,4
ODER,REGEN,4
__ON__,SUEDWEST,4
REGION,BIS,4
DIENST,WARNUNG,4
MORGEN,ZEHN,3
LUFT,DRUCK,3
STARK,WOLKE,3
MORGEN,SAMSTAG,3
MORGEN,MEISTENS,3
REGEN,SUED,3
KLAR,STERN,3
TAG,DANN,3
KOMMEN,DANN,3
REGION,IX,3
SUEDWEST,REGEN,3
KOMMEN,IX,3
DREISSIG,GRAD,3
TIEF,HOCH,3
REGION,BISSCHEN,3
REGION,KOMMEN,3
HIMMEL,STERN,3
OBER,FLUSS,3
__ON__,SAMSTAG,3
WIE-AUSSEHEN,MITTWOCH,3
KALT,KOMMEN,3
IN-KOMMEND,MEHR,3
__ON__,SUEDOST,3
MORGEN,MONTAG,3
MINUS,ACHT,3
REGION,MORGEN,3
BIS,DREI,3
STARK,WIND,3
WARM,__OFF__,3
TEIL,SONNE,3
LUFT,KOMMEN,3
TEMPERATUR,STEIGEN,3
ZEHN,BIS,3
NAECHSTE,WOCHE,3
__ON__,TIEF,3
BIS,ACHTZEHN,3
KUEHL,KOMMEN,3
REGEN,ABER,3
TEIL,SCHNEE,3
__ON__,WEST,3
__ON__,NORDOST,3
HOCH,TIEF,3
FLUSS,REGION,3
SUED,SCHWACH,3
ODER,SCHNEE,3
REGEN,STARK,3
REGEN,DANN,3
STARK,WEHEN,3
ABER,REGEN,3
REGEN,NORD,3
KOENNEN,GEWITTER,3
STARK,REGEN,3
BIS,FUENF,3
NACHT,ELF,3
MINUS,EINS,3
NULL,ZWISCHEN,3
SCHWARZ,WALD,3
FLUSS,WEST,3
MINUS,VIER,3
IX,__OFF__,3
LAND,IX,3
KOENNEN,SONNE,3
MINUS,SIEBEN,3
REGEN,OST,3
__ON__,GUT,3
MORGEN,TAG,3
TAG,SONNE,3
MORGEN,MITTWOCH,3
MILD,ABER,3
NORD,SEE,3
NORDOST,BISSCHEN,3
BERG,MOEGLICH,3
NORD,SUEDOST,3
SEPTEMBER,__OFF__,3
WEST,FLUSS,3
BODEN,FROST,3
NORD,WEHEN,3
VIERZEHN,GRAD,3
MAESSIG,FRISCH,3
BIS,SECHS,3
NORD,EUROPA,3
NORD,BIS,3
BERG,AUCH,3
ABEND,LIEB,3
BERG,REGION,3
REGION,UND,3
SONNE,SCHAUER,3
BIS,FUENFZEHN,3
GRAD,FLUSS,3
WEST,REGION,3
AUCH,BISSCHEN,3
KOMMEN,KUEHL,3
GRAD,MITTE,3
AUCH,TEIL,3
DANN,STURM,3
VIEL,REGEN,3
E+R+Z,BERG,3
ABEND,MACHEN,3
AUCH,WOLKE,3
KOMMEN,TAG,3
WEST,MEHR,3
AUCH,WIND,3
ZUSCHAUER,EUCH,3
AUCH,SCHAUER,3
ZUSCHAUER,GUT,3
NORD,HEUTE,3
STURM,ORKAN,3
MAI,__OFF__,3
NORD,AUCH,3
SONNE,NORD,3
WIND,STARK,3
KOMMEN,MORGEN,3
GUT,__OFF__,3
SEHEN,KOENNEN,3
__ON__,SONNTAG,3
NACHT,IX,3
SUEDOST,SCHNEE,3
WOLKE,REGEN,3
WEHEN,HEUTE,3
WEHEN,OST,3
RUHIG,FREUNDLICH,3
WOLKE,NEBEL,3
WOLKE,TIEF,3
FUENF,ZWISCHEN,3
WEHEN,KOENNEN,3
WIND,MAESSIG,3
WOLKE,IX,3
NORDWEST,WOLKE,3
DABEI,__OFF__,3
SCHNEE,NORD,3
EUCH,__OFF__,3
__ON__,HEUTE-NACHT,3
NORDWEST,MEHR,3
REGEN,SONST,3
EUCH,GUT,3
NEUNZEHN,GRAD,3
KOMMEN,WARM,3
REGEN,BESONDERS,3
IX,KOMMEN,3
NORDWEST,REGEN,3
NACHT,MOEGLICH,3
FUENFZEHN,GRAD,3
NACHT,KOMMEN,3
WIND,KOMMEN,3
KOMMEN,SONNE,2
KOMMEN,MEHR,2
KOMMEN,SCHAUER,2
SECHS,BIS,2
__ON__,SKANDINAVIEN,2
__ON__,UND,2
SCHAUER,SUEDWEST,2
KOMMEN,FLUSS,2
__ON__,WOCHE,2
MINUS,EIN,2
GRAD,TAG,2
MINUS,SECHS,2
__ON__,WOLKE,2
__ON__,SCHOEN,2
MEHR,SCHNEE,2
__ON__,TEMPERATUR,2
NACHT,WOLKE,2
SONNE,MEISTENS,2
NACHT,NULL,2
TEILWEISE,AUCH,2
TEILWEISE,REGEN,2
DONNERSTAG,VIERTE,2
VIERZEHN,NORD,2
SONNE,ABER,2
NACHT,NOCH,2
VIERZEHN,BIS,2
DANN,ABEND,2
WIEDER,SCHNEE,2
NACHT,MINUS,2
NACHT,STARK,2
DANN,NORD,2
SONNE,HABEN,2
DANN,KALT,2
NACHT,TEIL,2
DANN,WIEDER,2
DANN,TEIL,2
NACHT,FUENF,2
SONNE,WEST,2
NOCH,BISSCHEN,2
BLEIBEN,WOLKE,2
SONNE,IX,2
__ON__,KUESTE,2
SECHSZEHN,BIS,2
__ON__,DIENSTAG,2
SCHAUER,SUEDOST,2
__ON__,WEHEN,2
ACHTZEHN,BIS,2
LAND,SUED,2
LAND,VIEL,2
SONNE,DANN,2
MEER,IX,2
TAG,SUED,2
TAG,IM-VERLAUF,2
TAG,MINUS,2
UND,REGION,2
DIENSTAG,MITTWOCH,2
SONNE,WAHRSCHEINLICH,2
HEUTE,ABEND,2
SONNE,TEMPERATUR,2
SONNE,UEBERALL,2
TAG,BLEIBEN,2
BESONDERS,WEST,2
SONNE,MAL,2
NACHT,DREIZEHN,2
NACHT,SECHS,2
NEBEL,DANN,2
PLUS,VIER,2
GRAD,MORGEN,2
__ON__,WOCHENENDE,2
SCHNEE,REST,2
NAEHE,FLUSS,2
NORD,NORDWEST,2
NORD,SONNE,2
NUR,NORDWEST,2
MORGEN,TEMPERATUR,2
NUR,WEST,2
WIND,IX,2
MORGEN,REGEN,2
NUR,NORD,2
SCHNEE,WENIG,2
SUEDOST,SONNE,2
SCHWACH,NORD,2
MORGEN,AUCH,2
MORGEN,KOENNEN,2
DABEI,NORD,2
DANN,GEWITTER,2
MORGEN,SOLL,2
MORGEN,BISSCHEN,2
DRUCK,REGION,2
MORGEN,MAL,2
MORGEN,DREI,2
DRUCK,KOMMEN,2
MORGEN,VIER,2
DRUCK,HOCH,2
MORGEN,NACH,2
MORGEN,WEST,2
SCHNEE,KOENNEN,2
MAESSIG,IX,2
SAMSTAG,AUCH,2
HAUPTSAECHLICH,NORD,2
MEHR,BISSCHEN,2
IM-VERLAUF,VERSCHWINDEN,2
TROCKEN,AUCH,2
TROCKEN,MINUS,2
TROCKEN,WETTER,2
MEHR,MILD,2
NORD,MAESSIG,2
SEE,MINUS,2
NORD,DEUTSCH,2
HAUPTSAECHLICH,WOLKE,2
HAUPTSAECHLICH,SONNE,2
MEHR,RUHIG,2
VERSCHWINDEN,IX,2
NORD,FRISCH,2
NORD,WOLKE,2
VERSCHWINDEN,WIND,2
VERSCHWINDEN,__OFF__,2
FREITAG,DANN,2
LETZTE,REGEN,2
MONTAG,EINS,2
MEHR,WIND,2
DAZU,WARM,2
NORD,REGEN,2
MAESSIG,KUESTE,2
NORD,IX,2
NORD,TAG,2
MORGEN,DEUTSCH,2
WIND,NORD,2
MORGEN,WARM,2
KOMMEN,ES-BEDEUTET,2
IX,MILD,2
__ON__,WENN,2
__ON__,LUFT,2
LANG,REGEN,2
__ON__,WIE-AUSSEHEN,2
MITTE,SUED,2
KOMMEN,ABER,2
BAYERN,WALD,2
BAYERN,REGION,2
TIEF,NORD,2
__ON__,OST,2
NEBEL,UND,2
GRAD,SEE,2
__ON__,DEUTSCH,2
GRAD,NORDOST,2
GRAD,NEBEL,2
KOMMEN,NOCH,2
EUROPA,REGION,2
GRAD,UNGEFAEHR,2
KOMMEN,BLEIBEN,2
GRAD,MINUS,2
UEBERWIEGEND,SONNE,2
KOMMEN,FREUNDLICH,2
KOMMEN,WEHEN,2
IHR,WUENSCHEN,2
__ON__,DONNERSTAG,2
LANG,FREUNDLICH,2
IX,BIS,2
VIER,BERG,2
GEWITTER,REGEN,2
KALT,MITTE,2
MORGEN,MEHR,2
MORGEN,HAUPTSAECHLICH,2
KALT,__OFF__,2
VIER,BIS,2
S+H,IX,2
NULL,BIS,2
GEWITTER,SUED,2
LEICHT,FROST,2
LEICHT,REGEN,2
GEWITTER,STARK,2
IX,MAESSIG,2
__ON__,__OFF__,2
PLUS,DREI,2
GEWITTER,IX,2
IX,SUED,2
IN-KOMMEND,WETTER,2
SIEBEN,BIS,2
IX,SCHAUER,2
SIEBEN,REGION,2
__ON__,GEWITTER,2
IN-KOMMEND,TAG,2
IX,VIER,2
IX,UND,2
PLUS,EINS,2
IX,SCHNEE,2
NOCH,REGEN,2
DANN,SONNE,2
DANN,KOMMEN,2
STEIGEN,WARM,2
UNWETTER,REGEN,2
WOLKE,BLEIBEN,2
SONNTAG,WEST,2
SONNTAG,AUCH,2
SONNTAG,IX,2
GEFRIEREN,__OFF__,2
TEIL,WOLKE,2
SONNTAG,SECHS,2
WOLKE,SCHAUER,2
SONNTAG,OST,2
TEIL,STURM,2
SONNTAG,SCHNEE,2
REGEN,NACH,2
INFORMIEREN,MORGEN,2
VORAUS,INFORMIEREN,2
DREISSIG,MAERZ,2
TEIL,KLAR,2
WOLKE,BEWOELKT,2
NORDWEST,IX,2
HOCH,LUFT,2
FUENFHUNDERT,METER,2
WOLKE,WEST,2
REGION,NULL,2
FLUSS,MOEGLICH,2
WEHEN,MAESSIG,2
EIN,GRAD,2
WARM,LUFT,2
MEISTENS,REGEN,2
REGEN,NACHT,2
WENN,KLAR,2
SUED,IX,2
SUED,NOCH,2
SCHNEIEN,REGEN,2
REGEN,STURM,2
SUED,DANN,2
WENN,GEWITTER,2
ZWANZIG,JANUAR,2
WEHEN,SCHWACH,2
REGEN,ERST,2
FUENF,BIS,2
ZWANZIG,JULI,2
BISSCHEN,MEHR,2
BISSCHEN,IX,2
ABEND,EUCH,2
ALPEN,IX,2
EIN,MINUS,2
ZWANZIG,SEPTEMBER,2
ALPEN,AUCH,2
MEISTENS,TROCKEN,2
WARM,IX,2
MEISTENS,SONNE,2
HOCH,REGION,2
WIE-AUSSEHEN,ZEIGEN-BILDSCHIRM,2
ABEND,TSCHUESS,2
REGION,SUEDWEST,2
NOVEMBER,__OFF__,2
NORDWEST,SPAETER,2
REGION,NEBEL,2
REGION,SCHWACH,2
REGION,SECHS,2
REGION,SCHAUER,2
KLAR,NORD,2
ABER,KUEHL,2
WOLKE,HIMMEL,2
SOLL,EINFLUSS,2
NORDWEST,MORGEN,2
REGION,LUFT,2
ABER,BISSCHEN,2
NORDWEST,BISSCHEN,2
KLAR,TROCKEN,2
STARK,STURM,2
REGION,SIEBEN,2
ABER,SUED,2
FREUNDLICH,IM-VERLAUF,2
STARK,__OFF__,2
KLAR,SEHEN,2
KOENNEN,BESONDERS,2
STARK,SCHNEE,2
FREUNDLICH,ABER,2
KOENNEN,SCHNEE,2
REGION,NOCH,2
JUNI,__OFF__,2
REGION,HEUTE,2
FLUSS,UND,2
ACHT,GRAD,2
REGION,DANN,2
FLUSS,SUED,2
REGION,OST,2
REGION,FLUSS,2
STERN,SEHEN,2
NORDWEST,SCHNEE,2
REGION,HAUPTSAECHLICH,2
MITTWOCH,REGEN,2
REGION,MEISTENS,2
KUESTE,STARK,2
DEUTSCHLAND,REGION,2
ABER,DEUTSCH,2
KUESTE,IX,2
MITTWOCH,EINS,2
FREUNDLICH,WETTER,2
REGION,MINUS,2
REST,REGION,2
REGION,STURM,2
WOLKE,__OFF__,2
KUESTE,REGION,2
SCHNEIEN,SCHOEN,2
ELF,BIS,2
SUED,SUEDOST,2
BIS,FREITAG,2
WEST,BISSCHEN,2
ANFANG,REGEN,2
GLATT,VORSICHT,2
BERG,ORKAN,2
AUGUST,__OFF__,2
MAERZ,__OFF__,2
MITTAG,IX,2
BERG,ALLGAEU,2
ANFANG,FREUNDLICH,2
DREI,BIS,2
SECHSHUNDERT,METER,2
AB,MONTAG,2
AUCH,OBER,2
MITTAG,ZWISCHEN,2
AB,DIENSTAG,2
AB,MITTAG,2
A,HOCH,2
BERG,SCHON,2
BISSCHEN,LEICHT,2
BIS,SECHSZEHN,2
BIS,DREISSIG,2
ZWOELF,NORD,2
ZWOELF,GRAD,2
WEST,KOENNEN,2
WETTER,VORAUS,2
NACHT,SCHNEE,2
DANN,SONNTAG,2
AUCH,__OFF__,2
AUCH,GEWITTER,2
MOEGLICH,__OFF__,2
GLATT,GEFAHR,2
FROST,MINUS,2
MOEGLICH,BISSCHEN,2
AUCH,MOEGLICH,2
WEST,SCHNEE,2
WEST,NORDWEST,2
MOEGLICH,NEBEL,2
DREIZEHN,REGION,2
WETTER,__OFF__,2
AUCH,KOMMEN,2
GLATT,KOENNEN,2
MOEGLICH,SONNE,2
MOEGLICH,MORGEN,2
MAL,WOLKE,2
AUCH,MORGEN,2
REGEN,WIND,2
TEMPERATUR,MINUS,2
REGION,BERG,2
REGEN,TEIL,2
TSCHUESS,__OFF__,2
BISSCHEN,VERSCHWINDEN,2
REGEN,MIT,2
HIMMEL,__OFF__,2
REGEN,TEILWEISE,2
EINS,GRAD,2
SUED,DEUTSCHLAND,2
SUED,AUCH,2
ORKAN,HABEN,2
SUED,WEHEN,2
EINS,ZWISCHEN,2
BIS,ZWANZIG,2
BIS,SIEBEN,2
REGEN,WEST,2
REGEN,HAGEL,2
EINS,DREISSIG,2
FRISCH,MAESSIG,2
SUED,BISSCHEN,2
ZWANZIG,REGION,2
NICHT-VIEL,NICHT-WOLKE,2
ZWANZIG,FLUSS,2
BIS,ABEND,2
REGEN,UND,2
FRANKREICH,KOMMEN,2
SUED,BAYERN,2
REGEN,DONNERSTAG,2
SUED,__OFF__,2
BIS,MINUS,2
BIS,SECHZIG,2
BESSER,WARM,1
IM-VERLAUF,WENIGER,1
DAZU,OST,1
FEIER,UND,1
UNTERSCHIED,DANN,1
DAZU,KOENNEN,1
BESSER,IM-VERLAUF,1
IM-VERLAUF,IX,1
BESSER,ALS,1
IM-VERLAUF,REGEN,1
DAZU,WIND,1
MONTAG,MEER,1
IM-VERLAUF,NACHT,1
IM-VERLAUF,FRUEH,1
MONTAG,VIEL,1
SO,__OFF__,1
ABEND,GEWITTER,1
IM-VERLAUF,MITTE,1
ABEND,AUFLOESEN,1
IM-VERLAUF,MONTAG,1
LIEB,DU,1
ABEND,SOMMER,1
IM-VERLAUF,MEHR,1
IM-VERLAUF,UEBERALL,1
IM-VERLAUF,REGION,1
ABEND,DANN,1
BESSER,SONNE,1
ABEND,AUSRICHTEN,1
ABEND,IX,1
IM-VERLAUF,IM-VERLAUF,1
ABEND,BISSCHEN,1
IM-VERLAUF,TEMPERATUR,1
ABEND,FLUSS,1
IM-VERLAUF,WEST,1
ZUSCHAUER,SO,1
BESSER,RUHIG,1
ABEND,VERSCHWINDEN,1
ABEND,WINTER,1
ABEND,MEHR,1
ZUSCHAUER,IN-KOMMEND,1
ABEND,MINUS,1
ABEND,KOENNEN,1
IM-VERLAUF,OST,1
ABEND,TROCKEN,1
SO,VIEL,1
ABEND,SUED,1
DAZU,MORGEN,1
DAZU,REGEN,1
IM-VERLAUF,SUEDWEST,1
DAZU,STURM,1
IM-VERLAUF,SCHNEE,1
LUFT,TATSAECHLICH,1
TRENNEN,ICH,1
NEBEL,AUFLOESEN,1
SIEBZEHN,WENN,1
SIEBZEHN,FLUSS,1
NEBEL,KUEHL,1
SIEBZEHN,MAXIMAL,1
SIEBZEHN,ACHTZEHN,1
NEBEL,BEREICH,1
NEBEL,HABEN,1
JETZT,SCHOEN,1
JETZT,IN-KOMMEND,1
NEBEL,AUCH,1
NEBEL,SUED,1
ZEHN,E,1
NEBEL,HIMMEL,1
JETZT,OST,1
NEBEL,SONST,1
JETZT,WUENSCHEN,1
JETZT,IM-MOMENT,1
JETZT,MORGEN,1
JETZT,NORDOST,1
OST,GEWITTER,1
OST,SCHON,1
OST,STARK,1
SIEBZEHN,GRAD,1
ZEHN,FLUSS,1
GUT,EUCH,1
FROST,SUED,1
MOEGLICH,HEUTE,1
MOEGLICH,PLUS,1
FROST,MORGEN,1
HERZ,BERG,1
FROST,KEIN,1
DAZWISCHEN,__OFF__,1
FROST,__OFF__,1
FROST,AUCH,1
DAZWISCHEN,REGEN,1
NEBEL,WOLKE,1
NEBEL,BLEIBEN,1
ZEHN,ZEHN-STUNDEN,1
NEBEL,NUR,1
NEBEL,WENN,1
FROST,MOEGLICH,1
FROST,GLATT,1
NEBEL,REGION,1
NEBEL,FELD,1
NEBEL,SONNE,1
NEBEL,HOCH,1
NEBEL,NICHT-HABEN,1
NEBEL,NORD,1
OST,VIER,1
OST,SPEZIELL,1
OST,AUFZIEHEN,1
NUR,BISSCHEN,1
FRUEH,ANFANG,1
OST,MEISTENS,1
OST,WARM,1
FRUEH,MEHR,1
FRUEH,VERSCHWINDEN,1
FRUEH,HERBST,1
FRUEH,FUENF,1
NUR,FUENFZEHN,1
NUR,SECHS,1
NUR,WOLKE,1
NUR,DREI,1
LUFT,TIEF,1
NUR,SUED,1
NUR,ORT,1
NUR,EIN,1
NUR,IX,1
GUT,IN-KOMMEND,1
GUT,WUENSCHEN,1
NICHT-KAUM,SONNE,1
NICHT-KAUM,NUR,1
GUT,WETTER,1
GUT,SONNE,1
LUFT,IX,1
OST,STURM,1
OST,UEBERWIEGEND,1
OST,UND,1
OST,NORD,1
OST,SONNE,1
OST,FRISCH,1
LUFT,HOCH,1
LUFT,KALT,1
OST,REGEN,1
OST,DRUCKFLAECHE,1
LUFT,VIEL,1
LUFT,WEST,1
LUFT,MEER,1
LUFT,__OFF__,1
LUFT,AUFZIEHEN,1
OST,WOLKE,1
OST,MEHR,1
OST,NACHT,1
OST,WEHEN,1
LUFT,KUEHL,1
OST,NIEDERSACHSEN,1
MONTAG,AEHNLICH,1
OST,LANGSAM,1
LUFT,DOCH,1
MONTAG,IX,1
WENN,SONNE,1
MONTAG,SONNE,1
ALPEN,MOEGLICH,1
KOMMEN,NOCH-NICHT,1
KOMMEN,TEMPERATUR,1
FUENF,FLUSS,1
FUENF,NORD,1
GLEICH,SIEBZEHN,1
GLEICH,ZEIT,1
FUENF,IX,1
GLEICH,OST,1
GLEICH,IX,1
NAECHSTE,DASSELBE,1
NAECHSTE,SAMSTAG,1
NAECHSTE,SONNTAG,1
NAECHSTE,GLEICH,1
FUENF,MORGEN,1
MEER,TIEF,1
MEER,HOCH,1
MEER,LUFT,1
MEER,ZEHN,1
MEER,REGION,1
TRUEB,HIMMEL,1
MEER,AUCH,1
MEER,SCHWER,1
MEER,WENN,1
TRUEB,NEBEL,1
SECHSZEHN,NORD,1
ALPEN,SCHAUER,1
ALPEN,WAHRSCHEINLICH,1
SECHSZEHN,FEBRUAR,1
ALPEN,MAL,1
HOCH,IX,1
HOCH,BIS,1
HOCH,STURM,1
KOMMEN,IM-VERLAUF,1
KOMMEN,HEUTE,1
HOCH,HOEHER,1
HOCH,SPANIEN,1
GEBEN,SCHAUER,1
STEIGEN,ZEHN,1
STEIGEN,SCHWER,1
KOMMEN,SCHWUEL,1
STEIGEN,HEUTE,1
STEIGEN,__OFF__,1
STEIGEN,KUESTE,1
KOMMEN,RICHTUNG,1
STEIGEN,BIS,1
KOMMEN,DAZU,1
ALPEN,BIS,1
KOMMEN,BEDEUTEN,1
ALPEN,LETZTE,1
ALPEN,DREI,1
ALPEN,MINUS,1
KOMMEN,SCHNEIEN,1
ALPEN,LANG,1
KOMMEN,FRUEHLING,1
SECHSZEHN,NEBEL,1
HIMMEL,UND,1
HOCH,OST,1
ZWOELF,ZWISCHEN,1
VIERZEHN,__OFF__,1
VIERZEHN,MAI,1
VIERZEHN,FEBRUAR,1
VIERZEHN,MAXIMAL,1
VIERZEHN,SUED,1
ZWOELF,DEZEMBER,1
ZWOELF,MAI,1
ZWISCHEN,EINS,1
ZWISCHEN,VORMITTAG,1
ZWISCHEN,MINUS,1
ZWISCHEN,LEICHT,1
ZWOELF,KOELN,1
ZWOELF,LAND,1
ZWOELF,BIS,1
ZWISCHEN,VIERZEHN,1
ZWISCHEN,SONNE,1
ZWISCHEN,KOMMEN,1
ZWISCHEN,ZWANZIG,1
ZWISCHEN,MAXIMAL,1
ZWISCHEN,MITTE,1
ZWISCHEN,TAG,1
NACHMITTAG,NORD,1
ZWISCHEN,FUENF,1
ZWISCHEN,NULL,1
ZWISCHEN,EIN,1
UNGEFAEHR,VIERZEHN,1
EUCH,MACHEN,1
SECHSZEHN,SIEBZEHN,1
UNGEFAEHR,DREIZEHN,1
SECHSZEHN,REGION,1
HIMMEL,HEUTE,1
MAXIMAL,WIND,1
MAXIMAL,DREI,1
MAXIMAL,ZWEI,1
MAXIMAL,NULL,1
MAXIMAL,DREISSIG,1
HIMMEL,KOENNEN,1
HIMMEL,ENORM,1
HIMMEL,KLAR,1
MAXIMAL,SIEBZEHN,1
HIMMEL,DANN,1
MAXIMAL,SIEBEN,1
MAXIMAL,SECHS,1
MAXIMAL,ZWOELF,1
HIMMEL,SONST,1
HIMMEL,REGION,1
DU,ZUSCHAUER,1
MAXIMAL,SECHSZEHN,1
UNGEFAEHR,MEHR,1
UNGEFAEHR,NULL,1
UNGEFAEHR,SECHSHUNDERT,1
EUCH,BLEIBEN,1
UNGEFAEHR,__OFF__,1
UNGEFAEHR,TAUSEND,1
HOCH,NEBEL,1
HOCH,DESHALB,1
MONTAG,DAS-IST-ES,1
RUHIG,TROCKEN,1
WENN,TIEF,1
RUHIG,MEHR,1
WENN,NEBEL,1
RUHIG,VERSCHWINDEN,1
WENN,NORD,1
ZWISCHEN,__OFF__,1
WENN,HIMMEL,1
WENN,REGEN,1
DRUCK,NORDWEST,1
WENN,STERN,1
DRUCK,TIEF,1
UEBER,SICHT,1
UEBER,ZWANZIG,1
